# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Jul 12 08:37:58 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN st_spectype:    Spectral Type
# COLUMN st_teff:        Stellar Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmassj,pl_eqt,st_spectype,st_teff,st_mass,st_lum
11 Com b,11 Com,2,1,326.03000000,1.290000,12.100,19.40000,,G8 III,4742.00,2.70,2.243
11 UMi b,11 UMi,1,1,516.21997000,1.530000,12.300,14.74000,,K4 III,4213.00,2.78,2.430
14 And b,14 And,1,1,185.84000000,0.830000,12.900,4.80000,,K0 III,4813.00,2.20,1.763
14 Her b,14 Her,1,2,1765.03890000,2.774000,12.600,8.05300,,K0 V,5338.00,0.91,-0.153
16 Cyg B b,16 Cyg B,3,1,798.50000000,1.660000,13.500,1.78000,,G3 V,5750.00,1.08,0.097
17 Sco b,17 Sco,1,1,578.38000000,1.450000,12.900,4.32000,,K3 III,4157.00,1.22,2.254
18 Del b,18 Del,2,1,993.30000000,2.600000,12.500,10.30000,,G6 III,4979.00,2.30,1.602
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,,330.000000,18.647,8.00000,1700,K7 V,4060.00,0.85,-0.370
24 Boo b,24 Boo,1,1,30.35060000,0.190000,13.900,0.91000,,G3 IV,4893.00,0.99,1.774
24 Sex b,24 Sex,1,2,452.80000000,1.333000,13.400,1.99000,,K0 IV,5098.00,1.54,1.164
